[1|K0a1]
[L^10 - 2*L^8*M^2 + L^6*M^4 + 2*L^8 - L^6*M^2 - L^4*M^4 + 2*L^6 - L^4*M^2 + L^2*M^4 + 2*L^4 - L^2*M^2 + L^2 - M^2 + 1|K4a1,K7a2]
[L^10 - 2*L^8*M^2 + L^6*M^4 + 2*L^8 - L^6*M^2 - L^4*M^4 + 2*L^6 - L^4*M^2 + L^2*M^4 + 2*L^4 - L^2*M^2 + L^2 - M^2 + 1|mK4a1,K7a2]
[L^10 - 2*L^8*M^2 + L^6*M^4 + 2*L^8 - L^6*M^2 - L^4*M^4 + L^6 + L^2*M^4 - L^2*M^2 - M^2 + 1|K11a230]
[L^10 - 2*L^8*M^2 + L^6*M^4 + 2*L^8 - L^6*M^2 - L^4*M^4 + L^6 + L^4*M^2 - L^4 + 2*L^2*M^2 - 2*L^2|K11n63]
[L^10 - 2*L^8*M^2 + L^6*M^4 + 3*L^8 - 2*L^6*M^2 - L^4*M^4 + 2*L^6 + L^4*M^2 + L^2*M^4 - 2*L^2*M^2 + L^2 - M^2 + 2|K3a1,K8a1]
[-L^10 + 2*L^8*M^2 - L^6*M^4 - 3*L^8 + 2*L^6*M^2 + L^4*M^4 - L^6 - 3*L^4*M^2 + 2*L^4|K3a1,K5a2]
[L^10 - 2*L^8*M^2 + L^6*M^4 + L^8 - L^4*M^4 + 2*L^2*M^2 - L^2|mK11n17]
[L^10 - 2*L^8*M^2 + L^6*M^4 + L^8 - L^4*M^4 - L^4*M^2 + L^2*M^4 + L^4 - L^2*M^2 + L^2 - M^2 + 1|mK11a65]
[L^10 - 2*L^8*M^2 + L^6*M^4 + L^8 - L^4*M^4 + L^6 - 2*L^4*M^2 + L^2*M^4 + 2*L^4 - M^2|mK11a211]
[L^10 - 2*L^8*M^2 + L^6*M^4 + L^8 + L^6*M^2 - 2*L^4*M^4 + L^4*M^2 + L^2*M^4 + L^2*M^2 - L^2 - M^2|K11a311]
[L^10 - 2*L^8*M^2 + L^6*M^4 + L^8 + L^6*M^2 - 2*L^4*M^4 - L^6 + 2*L^4*M^2 + L^2*M^4 - 2*L^4 + L^2*M^2 - 2*L^2 - M^2|K4a1,K7a4]
[L^10 - 2*L^8*M^2 + L^6*M^4 + L^8 + L^6*M^2 - 2*L^4*M^4 - L^6 + 2*L^4*M^2 + L^2*M^4 - 2*L^4 + L^2*M^2 - 2*L^2 - M^2|mK4a1,K7a4]
[L^10 - 2*L^8*M^2 + L^6*M^4 + L^8 + L^6*M^2 - 2*L^4*M^4 - L^6 + 2*L^4*M^2 + L^2*M^4 - L^4 - M^2 + 1|K11a229]
[L^10 - 2*L^8*M^2 + L^6*M^4 + L^8 - L^6*M^2 + L^6 - 3*L^4*M^2 + 2*L^4 + L^2*M^2|mK11n113]
[L^10 - 3*L^8*M^2 + 2*L^6*M^4 + 2*L^8 - 2*L^6*M^2 - 2*L^4*M^4 + 2*L^6 + L^2*M^4 + L^4 + L^2*M^2 - L^2 - M^2|K11a345]
[L^10 - 3*L^8*M^2 + 2*L^6*M^4 + 2*L^8 - 2*L^6*M^2 - 2*L^4*M^4 + L^6 + L^4*M^2 + L^2*M^4 - M^2 + 1|K11a50]
[L^10 - 3*L^8*M^2 + 2*L^6*M^4 + 2*L^8 - L^6*M^2 - 3*L^4*M^4 + L^6 + 3*L^4*M^2 + L^2*M^4 - L^4 + 2*L^2*M^2 - 2*L^2 - M^2|K11a61]
[L^10 - 3*L^8*M^2 + 2*L^6*M^4 + 3*L^8 - 3*L^6*M^2 - 2*L^4*M^4 + 2*L^6 + 2*L^4*M^2 + L^2*M^4 - L^4 - L^2 - M^2 + 1|K11a21]
[L^10 - 3*L^8*M^2 + 2*L^6*M^4 + 3*L^8 - 3*L^6*M^2 - 2*L^4*M^4 + 3*L^6 + L^4*M^2 + L^2*M^4 + L^4 - M^2 + 1|K11a133]
[L^10 - 3*L^8*M^2 + 2*L^6*M^4 + 3*L^8 - 4*L^6*M^2 - L^4*M^4 + 4*L^6 - L^4*M^2 + 2*L^4 + 2*L^2*M^2 - L^2|K11n162]
[-L^10 + 3*L^8*M^2 - 2*L^6*M^4 - 4*L^8 + 5*L^6*M^2 + L^4*M^4 - 3*L^6 - 2*L^4*M^2 + L^4|K8a15]
[L^10 - 3*L^8*M^2 + 2*L^6*M^4 + L^8 - 3*L^4*M^4 + 2*L^4*M^2 + L^2*M^4 + 2*L^2*M^2 - L^2 - M^2|mK11a296]
[L^10 - 3*L^8*M^2 + 2*L^6*M^4 + L^8 - L^6*M^2 - 2*L^4*M^4 + L^6 - L^4*M^2 + L^2*M^4 + 2*L^4 + L^2*M^2 - M^2|mK11a324]
[-L^10 + 3*L^8*M^2 - 3*L^6*M^4 + L^4*M^6 - 4*L^8 + 7*L^6*M^2 - 3*L^4*M^4 - 4*L^6 + 3*L^4*M^2 - L^2*M^4 - L^4 + 2*L^2*M^2 - L^2|K10a78]
[-L^10 + 3*L^8*M^2 - 3*L^6*M^4 + L^4*M^6 - 4*L^8 + 8*L^6*M^2 - 4*L^4*M^4 - 5*L^6 + 6*L^4*M^2 - L^2*M^4 - 3*L^4 + 3*L^2*M^2 - 2*L^2|K3a1,K7a6]
[-L^10 + 3*L^8*M^2 - 3*L^6*M^4 + L^4*M^6 - 5*L^8 + 10*L^6*M^2 - 5*L^4*M^4 - 9*L^6 + 10*L^4*M^2 - L^2*M^4 - 8*L^4 + 4*L^2*M^2 - 4*L^2|K3a1,K3a1,K4a1]
